country,iso3,who.region,resource,unit_cost,cost.m,cost.sd
Afghanistan,AFG,EMR,Household visit,c_hh_visit,1.17,3.19
Albania,ALB,EUR,Household visit,c_hh_visit,1.81,3.19
Algeria,DZA,AFR,Household visit,c_hh_visit,1.41,3.19
American Samoa,ASM,WPR,Household visit,c_hh_visit,1.41,3.19
Andorra,AND,EUR,Household visit,c_hh_visit,1.41,3.19
Angola,AGO,AFR,Household visit,c_hh_visit,1.39,3.19
Anguilla,AIA,AMR,Household visit,c_hh_visit,4.8,3.19
Antigua and Barbuda,ATG,AMR,Household visit,c_hh_visit,3.66,3.19
Argentina,ARG,AMR,Household visit,c_hh_visit,1.95,3.19
Armenia,ARM,EUR,Household visit,c_hh_visit,1.54,3.19
Aruba,ABW,AMR,Household visit,c_hh_visit,3.62,3.19
Australia,AUS,WPR,Household visit,c_hh_visit,4.74,3.19
Austria,AUT,EUR,Household visit,c_hh_visit,4.19,3.19
Azerbaijan,AZE,EUR,Household visit,c_hh_visit,1.4,3.19
Bahamas,BHS,AMR,Household visit,c_hh_visit,4.23,3.19
Bahrain,BHR,EMR,Household visit,c_hh_visit,2.4,3.19
Bangladesh,BGD,SEA,Household visit,c_hh_visit,1.86,3.19
Barbados,BRB,AMR,Household visit,c_hh_visit,5.37,3.19
Belarus,BLR,EUR,Household visit,c_hh_visit,1.52,3.19
Belgium,BEL,EUR,Household visit,c_hh_visit,4.12,3.19
Belize,BLZ,AMR,Household visit,c_hh_visit,3.3,3.19
Benin,BEN,AFR,Household visit,c_hh_visit,1.77,3.19
Bermuda,BMU,AMR,Household visit,c_hh_visit,6.6,3.19
Bhutan,BTN,SEA,Household visit,c_hh_visit,1.3,3.19
Bolivia (Plurinational State of),BOL,AMR,Household visit,c_hh_visit,1.8,3.19
Bosnia and Herzegovina,BIH,EUR,Household visit,c_hh_visit,1.86,3.19
Botswana,BWA,AFR,Household visit,c_hh_visit,1.91,3.19
Brazil,BRA,AMR,Household visit,c_hh_visit,2.2,3.19
British Virgin Islands,VGB,AMR,Household visit,c_hh_visit,2.2,3.19
Brunei Darussalam,BRN,WPR,Household visit,c_hh_visit,2.01,3.19
Bulgaria,BGR,EUR,Household visit,c_hh_visit,1.97,3.19
Burkina Faso,BFA,AFR,Household visit,c_hh_visit,1.75,3.19
Burundi,BDI,AFR,Household visit,c_hh_visit,1.71,3.19
Cabo Verde,CPV,AFR,Household visit,c_hh_visit,2.31,3.19
Cambodia,KHM,WPR,Household visit,c_hh_visit,1.64,3.19
Cameroon,CMR,AFR,Household visit,c_hh_visit,1.91,3.19
Canada,CAN,AMR,Household visit,c_hh_visit,4.32,3.19
Cayman Islands,CYM,AMR,Household visit,c_hh_visit,5.72,3.19
Central African Republic,CAF,AFR,Household visit,c_hh_visit,2.34,3.19
Chad,TCD,AFR,Household visit,c_hh_visit,1.84,3.19
Chile,CHL,AMR,Household visit,c_hh_visit,2.54,3.19
China,CHN,WPR,Household visit,c_hh_visit,2.91,3.19
"China, Hong Kong SAR",HKG,WPR,Household visit,c_hh_visit,3.76,3.19
"China, Macao SAR",MAC,WPR,Household visit,c_hh_visit,3.12,3.19
Colombia,COL,AMR,Household visit,c_hh_visit,1.76,3.19
Comoros,COM,AFR,Household visit,c_hh_visit,2.03,3.19
Congo,COG,AFR,Household visit,c_hh_visit,2.6,3.19
Cook Islands,COK,WPR,Household visit,c_hh_visit,4.8,3.19
Costa Rica,CRI,AMR,Household visit,c_hh_visit,2.76,3.19
Côte d'Ivoire,CIV,AFR,Household visit,c_hh_visit,2.05,3.19
Croatia,HRV,EUR,Household visit,c_hh_visit,2.33,3.19
Cuba,CUB,AMR,Household visit,c_hh_visit,2.33,3.19
Curaçao,CUW,AMR,Household visit,c_hh_visit,3.71,3.19
Cyprus,CYP,EUR,Household visit,c_hh_visit,3.33,3.19
Czechia,CZE,EUR,Household visit,c_hh_visit,2.62,3.19
Democratic People's Republic of Korea,PRK,SEA,Household visit,c_hh_visit,3.32,3.19
Democratic Republic of the Congo,COD,AFR,Household visit,c_hh_visit,2.36,3.19
Denmark,DNK,EUR,Household visit,c_hh_visit,4.84,3.19
Djibouti,DJI,EMR,Household visit,c_hh_visit,2.85,3.19
Dominica,DMA,AMR,Household visit,c_hh_visit,3,3.19
Dominican Republic,DOM,AMR,Household visit,c_hh_visit,1.95,3.19
Ecuador,ECU,AMR,Household visit,c_hh_visit,2.47,3.19
Egypt,EGY,EMR,Household visit,c_hh_visit,1.35,3.19
El Salvador,SLV,AMR,Household visit,c_hh_visit,2.15,3.19
Equatorial Guinea,GNQ,AFR,Household visit,c_hh_visit,1.91,3.19
Eritrea,ERI,AFR,Household visit,c_hh_visit,1.74,3.19
Estonia,EST,EUR,Household visit,c_hh_visit,2.92,3.19
Eswatini,SWZ,AFR,Household visit,c_hh_visit,1.85,3.19
Ethiopia,ETH,AFR,Household visit,c_hh_visit,1.86,3.19
Fiji,FJI,WPR,Household visit,c_hh_visit,2.02,3.19
Finland,FIN,EUR,Household visit,c_hh_visit,4.61,3.19
France,FRA,EUR,Household visit,c_hh_visit,4.01,3.19
French Polynesia,PYF,WPR,Household visit,c_hh_visit,4.01,3.19
Gabon,GAB,AFR,Household visit,c_hh_visit,2.22,3.19
Gambia,GMB,AFR,Household visit,c_hh_visit,1.66,3.19
Georgia,GEO,EUR,Household visit,c_hh_visit,1.38,3.19
Germany,DEU,EUR,Household visit,c_hh_visit,4.09,3.19
Ghana,GHA,AFR,Household visit,c_hh_visit,2,3.19
Greece,GRC,EUR,Household visit,c_hh_visit,2.98,3.19
Greenland,GRL,EUR,Household visit,c_hh_visit,2.98,3.19
Grenada,GRD,AMR,Household visit,c_hh_visit,2.93,3.19
Guam,GUM,WPR,Household visit,c_hh_visit,2.93,3.19
Guatemala,GTM,AMR,Household visit,c_hh_visit,2.5,3.19
Guinea,GIN,AFR,Household visit,c_hh_visit,2.04,3.19
Guinea-Bissau,GNB,AFR,Household visit,c_hh_visit,1.79,3.19
Guyana,GUY,AMR,Household visit,c_hh_visit,1.7,3.19
Haiti,HTI,AMR,Household visit,c_hh_visit,1.93,3.19
Honduras,HND,AMR,Household visit,c_hh_visit,2.13,3.19
Hungary,HUN,EUR,Household visit,c_hh_visit,2.31,3.19
Iceland,ISL,EUR,Household visit,c_hh_visit,5.16,3.19
India,IND,SEA,Household visit,c_hh_visit,1.41,3.19
Indonesia,IDN,SEA,Household visit,c_hh_visit,1.54,3.19
Iran (Islamic Republic of),IRN,EMR,Household visit,c_hh_visit,0.84,3.19
Iraq,IRQ,EMR,Household visit,c_hh_visit,2.05,3.19
Ireland,IRL,EUR,Household visit,c_hh_visit,4.3,3.19
Israel,ISR,EUR,Household visit,c_hh_visit,5,3.19
Italy,ITA,EUR,Household visit,c_hh_visit,3.64,3.19
Jamaica,JAM,AMR,Household visit,c_hh_visit,2.43,3.19
Japan,JPN,WPR,Household visit,c_hh_visit,4.63,3.19
Jordan,JOR,EMR,Household visit,c_hh_visit,1.99,3.19
Kazakhstan,KAZ,EUR,Household visit,c_hh_visit,1.63,3.19
Kenya,KEN,AFR,Household visit,c_hh_visit,1.98,3.19
Kiribati,KIR,WPR,Household visit,c_hh_visit,3.32,3.19
Kuwait,KWT,EMR,Household visit,c_hh_visit,2.99,3.19
Kyrgyzstan,KGZ,EUR,Household visit,c_hh_visit,1.14,3.19
Lao People's Democratic Republic,LAO,WPR,Household visit,c_hh_visit,1.53,3.19
Latvia,LVA,EUR,Household visit,c_hh_visit,2.64,3.19
Lebanon,LBN,EMR,Household visit,c_hh_visit,1.91,3.19
Lesotho,LSO,AFR,Household visit,c_hh_visit,1.72,3.19
Liberia,LBR,AFR,Household visit,c_hh_visit,1.96,3.19
Libya,LBY,EMR,Household visit,c_hh_visit,1.64,3.19
Lithuania,LTU,EUR,Household visit,c_hh_visit,2.48,3.19
Luxembourg,LUX,EUR,Household visit,c_hh_visit,4.7,3.19
Madagascar,MDG,AFR,Household visit,c_hh_visit,1.49,3.19
Malawi,MWI,AFR,Household visit,c_hh_visit,1.92,3.19
Malaysia,MYS,WPR,Household visit,c_hh_visit,1.79,3.19
Maldives,MDV,SEA,Household visit,c_hh_visit,2.6,3.19
Mali,MLI,AFR,Household visit,c_hh_visit,1.76,3.19
Malta,MLT,EUR,Household visit,c_hh_visit,3.14,3.19
Marshall Islands,MHL,WPR,Household visit,c_hh_visit,4.66,3.19
Mauritania,MRT,AFR,Household visit,c_hh_visit,1.53,3.19
Mauritius,MUS,AFR,Household visit,c_hh_visit,2.02,3.19
Mexico,MEX,AMR,Household visit,c_hh_visit,2.13,3.19
Micronesia (Federated States of),FSM,WPR,Household visit,c_hh_visit,4.77,3.19
Monaco,MCO,EUR,Household visit,c_hh_visit,1.68,3.19
Mongolia,MNG,WPR,Household visit,c_hh_visit,1.59,3.19
Montenegro,MNE,EUR,Household visit,c_hh_visit,1.8,3.19
Montserrat,MSR,AMR,Household visit,c_hh_visit,4.8,3.19
Morocco,MAR,EMR,Household visit,c_hh_visit,1.98,3.19
Mozambique,MOZ,AFR,Household visit,c_hh_visit,1.66,3.19
Myanmar,MMR,SEA,Household visit,c_hh_visit,1.4,3.19
Namibia,NAM,AFR,Household visit,c_hh_visit,2.16,3.19
Nauru,NRU,WPR,Household visit,c_hh_visit,3.74,3.19
Nepal,NPL,SEA,Household visit,c_hh_visit,1.38,3.19
Netherlands,NLD,EUR,Household visit,c_hh_visit,4.24,3.19
New Caledonia,NCL,WPR,Household visit,c_hh_visit,4.24,3.19
New Zealand,NZL,WPR,Household visit,c_hh_visit,4.5,3.19
Nicaragua,NIC,AMR,Household visit,c_hh_visit,1.64,3.19
Niger,NER,AFR,Household visit,c_hh_visit,2.15,3.19
Nigeria,NGA,AFR,Household visit,c_hh_visit,1.94,3.19
Niue,NIU,WPR,Household visit,c_hh_visit,4.8,3.19
North Macedonia,MKD,EUR,Household visit,c_hh_visit,1.67,3.19
Northern Mariana Islands,MNP,WPR,Household visit,c_hh_visit,1.67,3.19
Norway,NOR,EUR,Household visit,c_hh_visit,5.11,3.19
Oman,OMN,EMR,Household visit,c_hh_visit,2.59,3.19
Pakistan,PAK,EMR,Household visit,c_hh_visit,1.18,3.19
Palau,PLW,WPR,Household visit,c_hh_visit,3.91,3.19
Panama,PAN,AMR,Household visit,c_hh_visit,2.2,3.19
Papua New Guinea,PNG,WPR,Household visit,c_hh_visit,2.93,3.19
Paraguay,PRY,AMR,Household visit,c_hh_visit,1.83,3.19
Peru,PER,AMR,Household visit,c_hh_visit,2.48,3.19
Philippines,PHL,WPR,Household visit,c_hh_visit,1.89,3.19
Poland,POL,EUR,Household visit,c_hh_visit,2.19,3.19
Portugal,PRT,EUR,Household visit,c_hh_visit,3.12,3.19
Puerto Rico,PRI,AMR,Household visit,c_hh_visit,4.4,3.19
Qatar,QAT,EMR,Household visit,c_hh_visit,2.71,3.19
Republic of Korea,KOR,WPR,Household visit,c_hh_visit,3.51,3.19
Republic of Moldova,MDA,EUR,Household visit,c_hh_visit,1.68,3.19
Romania,ROU,EUR,Household visit,c_hh_visit,1.94,3.19
Russian Federation,RUS,EUR,Household visit,c_hh_visit,1.72,3.19
Rwanda,RWA,AFR,Household visit,c_hh_visit,1.73,3.19
Saint Kitts and Nevis,KNA,AMR,Household visit,c_hh_visit,3.41,3.19
Saint Lucia,LCA,AMR,Household visit,c_hh_visit,3.44,3.19
Saint Vincent and the Grenadines,VCT,AMR,Household visit,c_hh_visit,2.75,3.19
Samoa,WSM,WPR,Household visit,c_hh_visit,3.06,3.19
San Marino,SMR,EUR,Household visit,c_hh_visit,3.62,3.19
Sao Tome and Principe,STP,AFR,Household visit,c_hh_visit,2.43,3.19
Saudi Arabia,SAU,EMR,Household visit,c_hh_visit,2.07,3.19
Senegal,SEN,AFR,Household visit,c_hh_visit,2.05,3.19
Serbia,SRB,EUR,Household visit,c_hh_visit,1.91,3.19
Seychelles,SYC,AFR,Household visit,c_hh_visit,2.14,3.19
Sierra Leone,SLE,AFR,Household visit,c_hh_visit,1.34,3.19
Singapore,SGP,WPR,Household visit,c_hh_visit,2.92,3.19
Sint Maarten (Dutch part),SXM,AMR,Household visit,c_hh_visit,3.87,3.19
Slovakia,SVK,EUR,Household visit,c_hh_visit,2.89,3.19
Slovenia,SVN,EUR,Household visit,c_hh_visit,3.05,3.19
Solomon Islands,SLB,WPR,Household visit,c_hh_visit,4.14,3.19
Somalia,SOM,EMR,Household visit,c_hh_visit,1.7,3.19
South Africa,ZAF,AFR,Household visit,c_hh_visit,2.02,3.19
South Sudan,SSD,AFR,Household visit,c_hh_visit,2.02,3.19
Spain,ESP,EUR,Household visit,c_hh_visit,3.39,3.19
Sri Lanka,LKA,SEA,Household visit,c_hh_visit,1.34,3.19
Sudan,SDN,EMR,Household visit,c_hh_visit,0.67,3.19
Suriname,SUR,AMR,Household visit,c_hh_visit,1.83,3.19
Sweden,SWE,EUR,Household visit,c_hh_visit,4.57,3.19
Switzerland,CHE,EUR,Household visit,c_hh_visit,5.83,3.19
Syrian Arab Republic,SYR,EMR,Household visit,c_hh_visit,5.83,3.19
Tajikistan,TJK,EUR,Household visit,c_hh_visit,1.07,3.19
Thailand,THA,SEA,Household visit,c_hh_visit,1.89,3.19
Timor-Leste,TLS,SEA,Household visit,c_hh_visit,1.98,3.19
Togo,TGO,AFR,Household visit,c_hh_visit,1.98,3.19
Tokelau,TKL,WPR,Household visit,c_hh_visit,4.8,3.19
Tonga,TON,WPR,Household visit,c_hh_visit,3.54,3.19
Trinidad and Tobago,TTO,AMR,Household visit,c_hh_visit,2.95,3.19
Tunisia,TUN,EMR,Household visit,c_hh_visit,1.55,3.19
Turkey,TUR,EUR,Household visit,c_hh_visit,1.46,3.19
Turkmenistan,TKM,EUR,Household visit,c_hh_visit,2.26,3.19
Turks and Caicos Islands,TCA,AMR,Household visit,c_hh_visit,5.15,3.19
Tuvalu,TUV,WPR,Household visit,c_hh_visit,4.28,3.19
Uganda,UGA,AFR,Household visit,c_hh_visit,1.71,3.19
Ukraine,UKR,EUR,Household visit,c_hh_visit,1.37,3.19
United Arab Emirates,ARE,EMR,Household visit,c_hh_visit,2.96,3.19
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,Household visit,c_hh_visit,4.31,3.19
United Republic of Tanzania,TZA,AFR,Household visit,c_hh_visit,1.86,3.19
United States of America,USA,AMR,Household visit,c_hh_visit,4.8,3.19
Uruguay,URY,AMR,Household visit,c_hh_visit,3.25,3.19
Uzbekistan,UZB,EUR,Household visit,c_hh_visit,1.1,3.19
Vanuatu,VUT,WPR,Household visit,c_hh_visit,4.59,3.19
Venezuela (Bolivarian Republic of),VEN,AMR,Household visit,c_hh_visit,4.59,3.19
Viet Nam,VNM,WPR,Household visit,c_hh_visit,1.55,3.19
Wallis and Futuna Islands,WLF,WPR,Household visit,c_hh_visit,4.8,3.19
Yemen,YEM,EMR,Household visit,c_hh_visit,2.73,3.19
Zambia,ZMB,AFR,Household visit,c_hh_visit,1.46,3.19
Zimbabwe,ZWE,AFR,Household visit,c_hh_visit,1.87,3.19
Afghanistan,AFG,EMR,HIV test,c_hiv_test,2.72,3.81
Albania,ALB,EUR,HIV test,c_hiv_test,4.21,5.9
Algeria,DZA,AFR,HIV test,c_hiv_test,3.28,4.59
American Samoa,ASM,WPR,HIV test,c_hiv_test,3.28,4.59
Andorra,AND,EUR,HIV test,c_hiv_test,18.37,7.79
Angola,AGO,AFR,HIV test,c_hiv_test,3.24,4.53
Anguilla,AIA,AMR,HIV test,c_hiv_test,62.53,26.52
Antigua and Barbuda,ATG,AMR,HIV test,c_hiv_test,47.7,20.23
Argentina,ARG,AMR,HIV test,c_hiv_test,4.54,6.35
Armenia,ARM,EUR,HIV test,c_hiv_test,3.59,5.02
Aruba,ABW,AMR,HIV test,c_hiv_test,47.19,20.01
Australia,AUS,WPR,HIV test,c_hiv_test,61.69,26.16
Austria,AUT,EUR,HIV test,c_hiv_test,54.6,23.15
Azerbaijan,AZE,EUR,HIV test,c_hiv_test,3.26,4.56
Bahamas,BHS,AMR,HIV test,c_hiv_test,55.12,23.38
Bahrain,BHR,EMR,HIV test,c_hiv_test,31.21,13.24
Bangladesh,BGD,SEA,HIV test,c_hiv_test,4.33,6.06
Barbados,BRB,AMR,HIV test,c_hiv_test,69.97,29.67
Belarus,BLR,EUR,HIV test,c_hiv_test,3.54,4.96
Belgium,BEL,EUR,HIV test,c_hiv_test,53.66,22.76
Belize,BLZ,AMR,HIV test,c_hiv_test,7.67,10.74
Benin,BEN,AFR,HIV test,c_hiv_test,4.11,5.76
Bermuda,BMU,AMR,HIV test,c_hiv_test,85.88,36.42
Bhutan,BTN,SEA,HIV test,c_hiv_test,3.03,4.24
Bolivia (Plurinational State of),BOL,AMR,HIV test,c_hiv_test,4.19,5.87
Bosnia and Herzegovina,BIH,EUR,HIV test,c_hiv_test,4.31,6.04
Botswana,BWA,AFR,HIV test,c_hiv_test,4.43,6.2
Brazil,BRA,AMR,HIV test,c_hiv_test,5.12,7.16
British Virgin Islands,VGB,AMR,HIV test,c_hiv_test,5.12,7.16
Brunei Darussalam,BRN,WPR,HIV test,c_hiv_test,26.16,11.09
Bulgaria,BGR,EUR,HIV test,c_hiv_test,4.57,6.4
Burkina Faso,BFA,AFR,HIV test,c_hiv_test,4.07,5.7
Burundi,BDI,AFR,HIV test,c_hiv_test,3.97,5.55
Cabo Verde,CPV,AFR,HIV test,c_hiv_test,5.37,7.51
Cambodia,KHM,WPR,HIV test,c_hiv_test,3.82,5.35
Cameroon,CMR,AFR,HIV test,c_hiv_test,4.44,6.21
Canada,CAN,AMR,HIV test,c_hiv_test,56.25,23.86
Cayman Islands,CYM,AMR,HIV test,c_hiv_test,74.46,31.58
Central African Republic,CAF,AFR,HIV test,c_hiv_test,5.44,7.61
Chad,TCD,AFR,HIV test,c_hiv_test,4.28,5.99
Chile,CHL,AMR,HIV test,c_hiv_test,33.01,14
China,CHN,WPR,HIV test,c_hiv_test,6.77,9.48
"China, Hong Kong SAR",HKG,WPR,HIV test,c_hiv_test,48.9,20.74
"China, Macao SAR",MAC,WPR,HIV test,c_hiv_test,40.63,17.23
Colombia,COL,AMR,HIV test,c_hiv_test,4.09,5.72
Comoros,COM,AFR,HIV test,c_hiv_test,4.73,6.62
Congo,COG,AFR,HIV test,c_hiv_test,6.05,8.48
Cook Islands,COK,WPR,HIV test,c_hiv_test,62.53,26.52
Costa Rica,CRI,AMR,HIV test,c_hiv_test,6.41,8.98
Côte d'Ivoire,CIV,AFR,HIV test,c_hiv_test,4.76,6.66
Croatia,HRV,EUR,HIV test,c_hiv_test,30.34,12.87
Cuba,CUB,AMR,HIV test,c_hiv_test,5.42,7.58
Curaçao,CUW,AMR,HIV test,c_hiv_test,48.26,20.47
Cyprus,CYP,EUR,HIV test,c_hiv_test,43.29,18.36
Czechia,CZE,EUR,HIV test,c_hiv_test,34.1,14.46
Democratic People's Republic of Korea,PRK,SEA,HIV test,c_hiv_test,7.72,10.8
Democratic Republic of the Congo,COD,AFR,HIV test,c_hiv_test,5.5,7.7
