iso3,"HHCM, no PT_none",PT to <15_Dlm,PT to <15_Lfx,PT to <5/HIV+_Dlm,PT to <5/HIV+_Lfx,PT to <5/HIV+/TST+_Dlm,PT to <5/HIV+/TST+_Lfx
BDI,  201,  706,  288,  283,  174,  515,  241
SOM,  219,  800,  323,  311,  190,  580,  268
CAF,  452,  950,  655,  475,  454,  735,  578
AFG,  465,  949,  490,  477,  369,  724,  430
MOZ,  259,  752,  352,  326,  223,  558,  297
MDG,  238,  754,  325,  306,  201,  550,  271
SLE,  286,  853,  360,  358,  232,  626,  303
MWI,  347,  804,  393,  384,  278,  612,  343
COD,  241,  797,  343,  334,  212,  591,  292
NER,  267,  762,  349,  336,  229,  570,  300
LBR,  260,  789,  351,  337,  223,  585,  298
TCD,  295,  812,  412,  364,  267,  608,  352
GMB,  285,  773,  345,  344,  230,  576,  295
UGA,  491,  933,  468,  494,  368,  726,  419
ETH,  756, 1195,  605,  675,  533,  931,  551
RWA,  204,  806,  280,  291,  151,  565,  220
GNB,  295,  731,  339,  339,  236,  553,  295
BFA,  260,  756,  340,  326,  221,  559,  288
YEM,  253,  853,  411,  351,  245,  632,  349
SDN,  209,  745,  311,  292,  179,  533,  249
TJK,  443,  877,  440,  446,  339,  661,  382
MLI,  257,  866,  393,  353,  234,  632,  325
TGO,  307,  810,  374,  365,  256,  606,  323
GIN,  338,  838,  400,  392,  278,  635,  348
TZA,  327,  850,  391,  384,  268,  637,  337
NPL,  489,  912,  571,  482,  428,  707,  505
LSO,  201,  729,  297,  285,  173,  529,  246
TLS,  426,  828,  445,  448,  341,  651,  399
BEN,  290,  790,  354,  353,  237,  589,  302
MMR,  250,  794,  364,  329,  222,  581,  302
KGZ,  372, 1172,  451,  468,  272,  819,  349
ZWE,  377,  842,  409,  406,  292,  642,  357
HTI,  744, 1127,  658,  668,  561,  906,  605
SEN,  360,  826,  416,  400,  297,  631,  364
PAK,  221,  797,  397,  312,  221,  575,  321
KHM,  222,  700,  325,  291,  200,  515,  272
ZMB,  304,  812,  367,  364,  245,  605,  312
UZB,  388,  866,  408,  420,  300,  650,  350
CMR,  261,  754,  351,  332,  226,  564,  298
MRT,  286,  792,  446,  354,  280,  590,  375
BGD,  342,  820,  424,  385,  294,  619,  366
KIR,  383,  894,  487,  441,  340,  693,  431
KEN,  725, 1092,  644,  656,  546,  883,  592
STP,  891, 1118,  708,  749,  650,  933,  669
IND,  505,  999,  599,  513,  439,  762,  520
NIC, 3645, 2802, 2533, 2716, 2725, 2675, 2541
NGA,  373,  829,  444,  420,  318,  642,  389
GHA,  260,  740,  375,  328,  238,  554,  318
CIV,  450,  909,  497,  474,  369,  706,  439
HND,  924, 1233,  752,  792,  684, 1009,  702
EGY,  442,  927,  481,  465,  352,  706,  414
LAO,  821, 1089,  717,  721,  634,  909,  668
VNM,  467,  893,  524,  474,  392,  695,  461
